State,Year,Studio,1BR,2BR,3BR,4BR
AK,2018,$924.00,$1019.00,$1301.00,$1768.00,$2004.00
AK,2019,$922.00,$1067.00,$1311.00,$1825.00,$1980.00
AK,2020,$959.00,$1061.00,$1384.00,$1939.00,$2060.00
AK,2021,$911.00,$1024.00,$1260.00,$1669.00,$1904.00
AK,2022,$914.00,$1008.00,$1314.00,$1631.00,$2092.00
AK,2023,$952.50,$1031.50,$1335.00,$1756.00,$2113.00
AK,2024,$2089.00,$2365.00,$2929.00,$3832.00,$4586.00
AL,2018,$527.00,$542.00,$686.00,$909.00,$1041.00
AL,2019,$536.00,$557.00,$714.00,$925.00,$1059.00
AL,2020,$518.00,$552.00,$687.00,$926.00,$1060.00
AL,2021,$542.00,$580.00,$734.00,$949.00,$1085.00
AL,2022,$586.00,$619.00,$772.00,$993.00,$1163.00
AL,2023,$640.00,$691.00,$829.00,$1085.00,$1261.00
AL,2024,$1432.00,$1536.00,$1924.00,$2502.00,$2896.00
AR,2018,$503.00,$518.00,$663.00,$901.00,$1009.00
AR,2019,$503.00,$535.00,$679.00,$912.00,$1043.00
AR,2020,$491.00,$528.00,$666.00,$887.00,$1023.00
AR,2021,$512.00,$559.00,$692.00,$935.00,$1071.00
AR,2022,$516.00,$551.00,$687.00,$920.00,$1066.00
AR,2023,$579.00,$623.00,$767.00,$1044.00,$1194.00
AR,2024,$1268.00,$1360.00,$1716.00,$2294.00,$2602.00
AS,2018,$553.00,$556.00,$740.00,$1076.00,$1135.00
AS,2019,$543.00,$547.00,$723.00,$1045.00,$1109.00
AS,2020,$608.00,$612.00,$806.00,$1163.00,$1236.00
AS,2021,$635.00,$640.00,$843.00,$1206.00,$1293.00
AS,2022,$660.00,$664.00,$874.00,$1242.00,$1340.00
AS,2023,$702.00,$707.00,$930.00,$1322.00,$1426.00
AS,2024,$1588.00,$1598.00,$2100.00,$2960.00,$3220.00
AZ,2018,$630.00,$679.00,$852.00,$1209.00,$1352.00
AZ,2019,$654.00,$685.00,$879.00,$1243.00,$1475.00
AZ,2020,$657.00,$740.00,$921.00,$1310.00,$1480.00
AZ,2021,$703.00,$770.00,$991.00,$1377.00,$1517.00
AZ,2022,$775.00,$812.00,$1036.00,$1472.00,$1633.00
AZ,2023,$837.00,$893.00,$1174.00,$1620.00,$1804.00
AZ,2024,$1870.00,$2034.00,$2642.00,$3724.00,$4134.00
CA,2018,$785.00,$831.50,$1096.00,$1557.00,$1821.00
CA,2019,$837.50,$878.00,$1161.50,$1662.00,$1954.50
CA,2020,$890.50,$928.50,$1200.00,$1726.00,$2051.50
CA,2021,$941.00,$1021.00,$1310.50,$1854.50,$2219.00
CA,2022,$984.00,$1012.50,$1326.50,$1856.50,$2182.50
CA,2023,$1083.00,$1097.50,$1399.50,$1988.00,$2377.00
CA,2024,$2428.00,$2484.00,$3181.00,$4483.00,$5367.00
CO,2018,$670.50,$722.00,$948.00,$1288.50,$1453.00
CO,2019,$710.50,$768.50,$946.50,$1283.50,$1496.00
CO,2020,$684.00,$745.00,$903.00,$1236.50,$1421.00
CO,2021,$746.00,$779.00,$996.50,$1330.50,$1570.50
CO,2022,$842.00,$878.00,$1139.00,$1520.00,$1748.50
CO,2023,$896.50,$921.00,$1186.00,$1601.00,$1951.50
CO,2024,$2053.00,$2122.00,$2788.00,$3583.00,$4473.00
CT,2018,$898.00,$997.00,$1242.00,$1557.00,$1737.00
CT,2019,$822.00,$1028.00,$1278.00,$1601.00,$1792.00
CT,2020,$856.00,$1060.00,$1313.00,$1636.00,$1875.00
CT,2021,$948.00,$1164.00,$1437.00,$1787.00,$2089.00
CT,2022,$922.00,$1123.00,$1387.00,$1715.00,$2032.00
CT,2023,$1068.00,$1287.00,$1598.00,$1945.00,$2373.00
CT,2024,$2412.00,$2836.00,$3558.00,$4302.00,$5216.00
DC,2018,$1504.00,$1561.00,$1793.00,$2353.00,$2902.00
DC,2019,$1540.00,$1583.00,$1812.00,$2368.00,$2914.00
DC,2020,$1593.00,$1639.00,$1866.00,$2421.00,$2960.00
DC,2021,$1643.00,$1682.00,$1917.00,$2457.00,$2978.00
DC,2022,$1662.00,$1691.00,$1927.00,$2439.00,$2928.00
DC,2023,$1711.00,$1740.00,$1980.00,$2476.00,$2954.00
