state_alpha,Household,Relative Change,Sum of PctChange,Outlier (95%),Outlier (68%),Custom.2
AK,rent_50_4,<=10%,9.61%,false,false,TRUE
AK,rent_50_0,<=20%,14.28%,false,false,TRUE
AK,rent_50_1,<=20%,17.31%,false,false,TRUE
AK,rent_50_2,<=20%,11.45%,false,false,TRUE
AK,rent_50_3,<=20%,17.47%,false,false,TRUE
AL,rent_50_0,<=30%,22.18%,false,false,TRUE
AL,rent_50_1,<=30%,24.07%,false,false,TRUE
AL,rent_50_2,<=30%,24.61%,false,false,TRUE
AL,rent_50_3,<=30%,25.98%,false,false,TRUE
AL,rent_50_4,<=30%,24.51%,false,false,TRUE
AR,rent_50_0,<=30%,22.87%,false,false,TRUE
AR,rent_50_1,<=30%,23.41%,false,false,TRUE
AR,rent_50_2,<=30%,24.89%,false,false,TRUE
AR,rent_50_3,<=30%,24.67%,false,false,TRUE
AR,rent_50_4,<=30%,22.05%,false,false,TRUE
AS,rent_50_3,<=20%,19.16%,false,false,TRUE
AS,rent_50_0,<=30%,20.30%,false,false,TRUE
AS,rent_50_1,<=30%,20.33%,false,false,TRUE
AS,rent_50_2,<=30%,20.14%,false,false,TRUE
AS,rent_50_4,<=30%,20.15%,false,false,TRUE
AZ,rent_50_0,<=30%,20.65%,false,false,TRUE
AZ,rent_50_1,<=30%,25.25%,false,false,TRUE
AZ,rent_50_2,<=30%,27.51%,false,false,TRUE
AZ,rent_50_3,<=30%,26.49%,false,false,TRUE
AZ,rent_50_4,<=30%,26.58%,false,false,TRUE
CA,rent_50_2,<=20%,19.90%,false,false,TRUE
CA,rent_50_0,<=30%,23.37%,false,false,TRUE
CA,rent_50_1,<=30%,22.67%,false,false,TRUE
CA,rent_50_3,<=30%,20.74%,false,false,TRUE
CA,rent_50_4,<=30%,22.96%,false,false,TRUE
CO,rent_50_3,<=20%,17.86%,false,false,TRUE
CO,rent_50_0,<=30%,21.91%,false,false,TRUE
